datetime,T_A,G,H,T_Gnd,v_10,N
8/26/2008 09:00,27.7,527.78,203.20,23.6092567016,3.5,7
8/26/2008 10:00,31.2,661.11,213.67,29.8984967402,2.6,7
8/26/2008 11:00,31.6,608.33,316.90,34.7879825785,2,7
