alpha,gamma
0,0
10,0
20,0
30,5
40,10
50,10
60,10
70,10
80,10
90,5
100,5
110,0
120,0
130,0
140,0
150,10
160,0
170,0
180,0
190,0
200,0
210,5
220,5
230,5
240,10
250,10
260,5
270,5
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
